"Step","IQL_CNN_blox__20241210_192432 - score","IQL_CNN_blox__20241210_192432 - score__MIN","IQL_CNN_blox__20241210_192432 - score__MAX"
"544","0","0","0"
"1151","1","1","1"
"1758","6","6","6"
"2365","0","0","0"
"2972","-1","-1","-1"
"3579","0","0","0"
"4186","-4","-4","-4"
"4793","0","0","0"
"5400","4","4","4"
"6007","0","0","0"
"6614","6","6","6"
"7221","4","4","4"
"7828","4","4","4"
"8435","1","1","1"
"9042","6","6","6"
"9649","4","4","4"
"10256","4","4","4"
"10863","8","8","8"
"11470","0","0","0"
"12077","0","0","0"
"12684","1","1","1"
"13291","4","4","4"
"13898","0","0","0"
"14505","1","1","1"
"15112","5","5","5"
"15719","0","0","0"
"16326","5","5","5"
"16933","2","2","2"
"17540","5","5","5"
"18147","5","5","5"
"18754","10","10","10"
"19361","10","10","10"
"19968","-6","-6","-6"
"20575","5","5","5"
"21182","1","1","1"
"21789","7","7","7"
"22396","3","3","3"
"23003","14","14","14"
"23610","8","8","8"
"24217","14","14","14"
"24824","0","0","0"
"25431","8","8","8"
"26038","8","8","8"
"26645","8","8","8"
"27252","5","5","5"
"27859","9","9","9"
"28466","9","9","9"
"29073","-3","-3","-3"
"29680","-12","-12","-12"
"30287","-3","-3","-3"
"30894","10","10","10"
"31501","-1","-1","-1"
"32108","0","0","0"
"32715","-1","-1","-1"
"33322","0","0","0"
"33929","7","7","7"
"34536","16","16","16"
"35143","1","1","1"
"35750","2","2","2"
"36357","8","8","8"
"36964","3","3","3"
"37571","4","4","4"
"38178","10","10","10"
"38785","10","10","10"
"39392","0","0","0"
"39999","0","0","0"
"40606","9","9","9"
"41213","11","11","11"
"41820","0","0","0"
"42427","2","2","2"
"43034","-10","-10","-10"
"43641","0","0","0"
"44248","0","0","0"
"44855","9","9","9"
"45462","-3","-3","-3"
"46069","0","0","0"
"46676","3","3","3"
"47283","-5","-5","-5"
"47890","-14","-14","-14"
"48497","0","0","0"
"49104","11","11","11"
"49711","0","0","0"
"50318","9","9","9"
"50925","11","11","11"
"51532","0","0","0"
"52139","7","7","7"
"52746","1","1","1"
"53353","-2","-2","-2"
"53960","10","10","10"
"54567","4","4","4"
"55174","0","0","0"
"55781","11","11","11"
"56388","0","0","0"
"56995","-8","-8","-8"
"57602","0","0","0"
"58209","0","0","0"
"58816","4","4","4"
"59423","0","0","0"
"60030","0","0","0"
"60637","0","0","0"
