"Step","IQL_CNN_tiny__20241210_154249 - score","IQL_CNN_tiny__20241210_154249 - score__MIN","IQL_CNN_tiny__20241210_154249 - score__MAX"
"544","0","0","0"
"1151","0","0","0"
"1758","0","0","0"
"2365","0","0","0"
"2972","0","0","0"
"3579","0","0","0"
"4186","0","0","0"
"4793","-3","-3","-3"
"5400","0","0","0"
"6007","0","0","0"
"6614","0","0","0"
"7221","0","0","0"
"7828","0","0","0"
"8435","0","0","0"
"9042","0","0","0"
"9649","0","0","0"
"10256","0","0","0"
"10863","-2","-2","-2"
"11470","0","0","0"
"12077","0","0","0"
"12684","0","0","0"
"13291","0","0","0"
"13898","0","0","0"
"14505","-1","-1","-1"
"15112","0","0","0"
"15719","0","0","0"
"16326","0","0","0"
"16933","-2","-2","-2"
"17540","-2","-2","-2"
"18147","0","0","0"
"18754","0","0","0"
"19361","0","0","0"
"19968","0","0","0"
"20575","0","0","0"
"21182","9","9","9"
"21789","0","0","0"
"22396","0","0","0"
"23003","0","0","0"
"23610","9","9","9"
"24217","7","7","7"
"24824","-1","-1","-1"
"25431","0","0","0"
"26038","5","5","5"
"26645","0","0","0"
"27252","4","4","4"
"27859","0","0","0"
"28466","0","0","0"
"29073","0","0","0"
"29680","0","0","0"
"30287","0","0","0"
"30894","6","6","6"
"31501","0","0","0"
"32108","3","3","3"
"32715","0","0","0"
"33322","8","8","8"
"33929","6","6","6"
"34536","0","0","0"
"35143","0","0","0"
"35750","5","5","5"
"36357","4","4","4"
"36964","-3","-3","-3"
"37571","5","5","5"
"38178","5","5","5"
"38785","0","0","0"
"39392","5","5","5"
"39999","0","0","0"
"40606","0","0","0"
"41213","3","3","3"
"41820","0","0","0"
"42427","6","6","6"
"43034","7","7","7"
"43641","6","6","6"
"44248","-4","-4","-4"
"44855","4","4","4"
"45462","0","0","0"
"46069","-1","-1","-1"
"46676","7","7","7"
"47283","0","0","0"
"47890","7","7","7"
"48497","0","0","0"
"49104","0","0","0"
"49711","0","0","0"
"50318","0","0","0"
"50925","0","0","0"
"51532","0","0","0"
"52139","-2","-2","-2"
"52746","0","0","0"
"53353","-1","-1","-1"
"53960","-3","-3","-3"
"54567","0","0","0"
"55174","5","5","5"
"55781","0","0","0"
"56388","-1","-1","-1"
"56995","-4","-4","-4"
"57602","0","0","0"
"58209","0","0","0"
"58816","0","0","0"
"59423","-2","-2","-2"
"60030","10","10","10"
"60637","0","0","0"
"61244","-3","-3","-3"
"61851","0","0","0"
"62458","8","8","8"
"63065","0","0","0"
"63672","-10","-10","-10"
"64279","0","0","0"
"64886","0","0","0"
"65493","0","0","0"
"66100","0","0","0"
"66707","0","0","0"
"67314","0","0","0"
"67921","0","0","0"
"68528","0","0","0"
"69135","-10","-10","-10"
"69742","-2","-2","-2"
"70349","6","6","6"
"70956","0","0","0"
"71563","5","5","5"
"72170","-2","-2","-2"
"72777","6","6","6"
"73384","0","0","0"
"73991","9","9","9"
"74598","0","0","0"
"75205","0","0","0"
"75812","0","0","0"
"76419","0","0","0"
"77026","0","0","0"
"77633","0","0","0"
"78240","-1","-1","-1"
"78847","2","2","2"
"79454","5","5","5"
"80061","5","5","5"
"80668","9","9","9"
"81275","-6","-6","-6"
"81882","0","0","0"
"82489","0","0","0"
"83096","-2","-2","-2"
"83703","7","7","7"
"84310","0","0","0"
"84917","5","5","5"
"85524","-5","-5","-5"
"86131","5","5","5"
"86738","2","2","2"
"87345","0","0","0"
"87952","9","9","9"
"88559","8","8","8"
"89166","6","6","6"
"89773","6","6","6"
"90380","9","9","9"
"90987","1","1","1"
"91594","0","0","0"
"92201","7","7","7"
"92808","7","7","7"
"93415","0","0","0"
"94022","-1","-1","-1"
"94629","0","0","0"
"95236","0","0","0"
"95843","6","6","6"
"96450","0","0","0"
"97057","0","0","0"
"97664","7","7","7"
"98271","5","5","5"
"98878","0","0","0"
"99485","0","0","0"
"100092","5","5","5"
"100699","-2","-2","-2"
"101306","0","0","0"
"101913","4","4","4"
"102520","0","0","0"
"103127","0","0","0"
"103734","0","0","0"
"104341","0","0","0"
"104948","0","0","0"
"105555","7","7","7"
"106162","3","3","3"
"106769","-1","-1","-1"
"107376","2","2","2"
"107983","0","0","0"
"108590","8","8","8"
"109197","0","0","0"
"109804","0","0","0"
"110411","6","6","6"
"111018","3","3","3"
"111625","9","9","9"
"112232","-3","-3","-3"
"112839","0","0","0"
"113446","0","0","0"
"114053","0","0","0"
"114660","7","7","7"
"115267","7","7","7"
"115874","0","0","0"
"116481","4","4","4"
"117088","-1","-1","-1"
"117695","3","3","3"
"118302","5","5","5"
"118909","0","0","0"
"119516","5","5","5"
"120123","-3","-3","-3"
"120730","0","0","0"
"121337","7","7","7"
"121944","10","10","10"
"122551","1","1","1"
"123158","10","10","10"
"123645","11","11","11"
"124252","0","0","0"
"124859","-1","-1","-1"
"125466","4","4","4"
"126073","5","5","5"
"126680","6","6","6"
"127287","9","9","9"
"127894","0","0","0"
"128501","4","4","4"
"129108","-1","-1","-1"
"129715","-5","-5","-5"
"130322","2","2","2"
"130929","0","0","0"
"131536","-2","-2","-2"
"132143","0","0","0"
"132750","-4","-4","-4"
"133357","1","1","1"
"133964","7","7","7"
"134571","-6","-6","-6"
"135178","7","7","7"
"135785","0","0","0"
"136392","0","0","0"
"136999","9","9","9"
"137606","0","0","0"
"138213","4","4","4"
"138820","-3","-3","-3"
"139427","2","2","2"
"140034","-3","-3","-3"
"140641","0","0","0"
"141248","1","1","1"
"141855","0","0","0"
"142462","6","6","6"
"143069","0","0","0"
"143676","8","8","8"
"144283","9","9","9"
"144890","7","7","7"
"145217","11","11","11"
"145824","5","5","5"
"146431","0","0","0"
"147038","0","0","0"
"147301","11","11","11"
"147908","-2","-2","-2"
"148515","0","0","0"
"149122","8","8","8"
"149729","0","0","0"
"150336","10","10","10"
"150943","9","9","9"
"151550","0","0","0"
"152157","0","0","0"
"152764","10","10","10"
"153371","0","0","0"
"153978","10","10","10"
"154585","3","3","3"
"155192","1","1","1"
"155799","0","0","0"
"156406","2","2","2"
"156747","11","11","11"
"157354","0","0","0"
"157961","0","0","0"
"158568","-4","-4","-4"
"159175","7","7","7"
"159782","0","0","0"
"160389","7","7","7"
"160996","-3","-3","-3"
"161603","1","1","1"
"162210","0","0","0"
"162817","0","0","0"
"163424","-4","-4","-4"
"164031","2","2","2"
"164638","10","10","10"
"165245","7","7","7"
"165852","10","10","10"
"166459","1","1","1"
"166882","11","11","11"
"167489","8","8","8"
"168096","-9","-9","-9"
"168703","0","0","0"
"169310","-3","-3","-3"
"169917","1","1","1"
"170524","1","1","1"
"171131","2","2","2"
"171738","0","0","0"
"172345","0","0","0"
"172952","0","0","0"
"173559","1","1","1"
"174166","0","0","0"
"174773","10","10","10"
"175380","1","1","1"
"175987","1","1","1"
"176594","0","0","0"
"177201","1","1","1"
"177808","8","8","8"
"178415","1","1","1"
"179022","-8","-8","-8"
"179591","11","11","11"
"180198","10","10","10"
"180805","0","0","0"
"181412","0","0","0"
