"Step","Self_play_Qmix__20241211_193728 - score","Self_play_Qmix__20241211_193728 - score__MIN","Self_play_Qmix__20241211_193728 - score__MAX"
"290","-3","-3","-3"
"596","0","0","0"
"902","0","0","0"
"1208","0","0","0"
"1514","0","0","0"
"1820","0","0","0"
"2126","0","0","0"
"2432","0","0","0"
"2738","0","0","0"
"3044","0","0","0"
"3350","0","0","0"
"3656","0","0","0"
"3962","0","0","0"
"4268","0","0","0"
"4574","0","0","0"
"4880","0","0","0"
"5186","0","0","0"
"5492","0","0","0"
"5798","0","0","0"
"6104","0","0","0"
"6410","0","0","0"
"6716","0","0","0"
"7022","0","0","0"
"7328","0","0","0"
"7634","0","0","0"
"7940","0","0","0"
"8246","0","0","0"
"8552","0","0","0"
"8858","0","0","0"
"9164","0","0","0"
"9470","0","0","0"
"9776","0","0","0"
"10082","0","0","0"
"10388","0","0","0"
"10694","0","0","0"
"11000","0","0","0"
"11306","0","0","0"
"11612","0","0","0"
"11918","0","0","0"
"12224","0","0","0"
"12530","0","0","0"
"12836","0","0","0"
"13142","0","0","0"
"13448","0","0","0"
"13754","0","0","0"
"14060","0","0","0"
"14366","0","0","0"
"14672","0","0","0"
"14978","0","0","0"
"15284","0","0","0"
"15590","0","0","0"
"15896","0","0","0"
"16202","-2","-2","-2"
"16508","0","0","0"
"16814","0","0","0"
"17120","0","0","0"
"17426","0","0","0"
"17732","0","0","0"
"18038","0","0","0"
"18344","0","0","0"
"18650","0","0","0"
"18956","0","0","0"
"19262","0","0","0"
"19568","0","0","0"
"19874","0","0","0"
"20180","0","0","0"
"20486","0","0","0"
"20792","0","0","0"
"21098","0","0","0"
"21404","0","0","0"
"21710","0","0","0"
"22016","0","0","0"
"22322","0","0","0"
"22628","0","0","0"
"22934","0","0","0"
"23240","0","0","0"
"23546","0","0","0"
"23852","0","0","0"
"24158","0","0","0"
"24464","0","0","0"
"24770","0","0","0"
"25076","0","0","0"
"25382","-2","-2","-2"
"25688","0","0","0"
"25994","0","0","0"
"26300","0","0","0"
"26606","0","0","0"
"26912","0","0","0"
"27218","-1","-1","-1"
"27524","0","0","0"
"27830","0","0","0"
"28136","0","0","0"
"28442","0","0","0"
"28748","0","0","0"
"29054","0","0","0"
"29360","0","0","0"
"29666","0","0","0"
"29972","0","0","0"
"30278","0","0","0"
"30584","0","0","0"
"30890","0","0","0"
"31196","0","0","0"
"31502","0","0","0"
"31808","0","0","0"
"32114","0","0","0"
"32420","0","0","0"
"32726","0","0","0"
"33032","0","0","0"
"33338","0","0","0"
"33644","0","0","0"
"33950","0","0","0"
"34256","0","0","0"
"34562","0","0","0"
"34868","0","0","0"
"35174","0","0","0"
"35480","0","0","0"
"35786","0","0","0"
"36092","0","0","0"
"36398","0","0","0"
"36704","0","0","0"
"37010","0","0","0"
"37316","0","0","0"
"37622","0","0","0"
"37928","0","0","0"
"38234","0","0","0"
"38540","0","0","0"
"38846","-3","-3","-3"
"39152","0","0","0"
"39458","0","0","0"
"39764","0","0","0"
"40070","0","0","0"
"40376","0","0","0"
"40682","0","0","0"
"40988","0","0","0"
"41294","0","0","0"
"41600","0","0","0"
"41906","0","0","0"
"42212","0","0","0"
"42518","0","0","0"
"42824","0","0","0"
"43130","0","0","0"
"43436","0","0","0"
"43742","0","0","0"
"44048","0","0","0"
"44354","0","0","0"
"44660","0","0","0"
"44966","0","0","0"
"45272","0","0","0"
"45578","0","0","0"
"45884","0","0","0"
"46190","0","0","0"
"46496","0","0","0"
"46802","0","0","0"
"47108","0","0","0"
"47414","0","0","0"
"47720","0","0","0"
"48026","0","0","0"
"48332","0","0","0"
"48638","0","0","0"
"48944","0","0","0"
"49250","0","0","0"
"49556","0","0","0"
"49862","0","0","0"
"50168","0","0","0"
"50474","0","0","0"
"50780","0","0","0"
"51086","0","0","0"
"51392","0","0","0"
"51698","0","0","0"
"52004","0","0","0"
