"Step","SimpleQMIX_CNN_baseline_blox_later_exploration__20241212_181527 - score","SimpleQMIX_CNN_baseline_blox_later_exploration__20241212_181527 - score__MIN","SimpleQMIX_CNN_baseline_blox_later_exploration__20241212_181527 - score__MAX"
"198","-37","-37","-37"
"305","-37","-37","-37"
"396","-37","-37","-37"
"481","-37","-37","-37"
"672","-37","-37","-37"
"765","-37","-37","-37"
"855","-37","-37","-37"
"954","-37","-37","-37"
"1053","-37","-37","-37"
"1144","-37","-37","-37"
"1231","-37","-37","-37"
"1450","-37","-37","-37"
"1756","0","0","0"
"1936","-37","-37","-37"
"2090","-37","-37","-37"
"2179","-37","-37","-37"
"2418","-37","-37","-37"
"2574","-37","-37","-37"
"2661","-37","-37","-37"
"2748","-37","-37","-37"
"2847","-37","-37","-37"
"2934","-37","-37","-37"
"3115","-37","-37","-37"
"3206","-37","-37","-37"
"3512","0","0","0"
"3601","-37","-37","-37"
"3698","-37","-37","-37"
"3798","-37","-37","-37"
"3890","-37","-37","-37"
"4196","0","0","0"
"4436","-37","-37","-37"
"4526","-37","-37","-37"
"4681","-37","-37","-37"
"4774","-37","-37","-37"
"4871","-37","-37","-37"
"4968","-37","-37","-37"
"5218","-37","-37","-37"
"5324","-37","-37","-37"
"5472","-37","-37","-37"
"5694","-37","-37","-37"
"5784","-37","-37","-37"
"5919","-37","-37","-37"
"6020","-37","-37","-37"
"6326","0","0","0"
"6425","-37","-37","-37"
"6527","-37","-37","-37"
"6628","-37","-37","-37"
"6721","-37","-37","-37"
"7027","0","0","0"
"7122","-37","-37","-37"
"7210","-37","-37","-37"
"7394","-37","-37","-37"
"7522","-37","-37","-37"
"7611","-37","-37","-37"
"7716","-37","-37","-37"
"8022","0","0","0"
"8115","-37","-37","-37"
"8240","-37","-37","-37"
"8538","-37","-37","-37"
"8641","-37","-37","-37"
"8732","-37","-37","-37"
"8986","-37","-37","-37"
"9183","-37","-37","-37"
"9280","-37","-37","-37"
"9381","-37","-37","-37"
"9470","-37","-37","-37"
"9776","0","0","0"
"9879","-37","-37","-37"
"9979","-37","-37","-37"
"10078","-37","-37","-37"
"10169","-37","-37","-37"
"10268","-37","-37","-37"
"10449","-37","-37","-37"
"10534","-37","-37","-37"
"10840","0","0","0"
"11146","0","0","0"
"11264","-37","-37","-37"
"11357","-37","-37","-37"
"11593","-37","-37","-37"
"11763","-37","-37","-37"
"11925","-37","-37","-37"
"12022","-37","-37","-37"
"12197","-37","-37","-37"
"12302","-37","-37","-37"
"12439","-37","-37","-37"
"12540","-37","-37","-37"
"12627","-37","-37","-37"
"12726","-37","-37","-37"
"12815","-37","-37","-37"
"12937","-37","-37","-37"
"13036","-37","-37","-37"
"13189","-37","-37","-37"
"13286","-37","-37","-37"
"13592","0","0","0"
"13898","0","0","0"
"14003","-37","-37","-37"
"14090","-37","-37","-37"
"14192","-37","-37","-37"
"14284","-37","-37","-37"
"14375","-37","-37","-37"
