"Step","SimpleQMIX_CNN_baseline_blox_schedule__20241212_203031 - score","SimpleQMIX_CNN_baseline_blox_schedule__20241212_203031 - score__MIN","SimpleQMIX_CNN_baseline_blox_schedule__20241212_203031 - score__MAX"
"97","-37","-37","-37"
"186","-37","-37","-37"
"281","-37","-37","-37"
"383","-37","-37","-37"
"487","-37","-37","-37"
"573","-37","-37","-37"
"665","-37","-37","-37"
"757","-37","-37","-37"
"849","-37","-37","-37"
"937","-37","-37","-37"
"1039","-37","-37","-37"
"1141","-37","-37","-37"
"1233","-37","-37","-37"
"1335","-37","-37","-37"
"1423","-37","-37","-37"
"1509","-37","-37","-37"
"1774","-37","-37","-37"
"1941","-37","-37","-37"
"2230","-37","-37","-37"
"2324","-37","-37","-37"
"2491","-37","-37","-37"
"2583","-37","-37","-37"
"2683","-37","-37","-37"
"2777","-37","-37","-37"
"2875","-37","-37","-37"
"2969","-37","-37","-37"
"3061","-37","-37","-37"
"3163","-37","-37","-37"
"3261","-37","-37","-37"
"3353","-37","-37","-37"
"3517","-37","-37","-37"
"3609","-37","-37","-37"
"3846","-37","-37","-37"
"3952","-37","-37","-37"
"4042","-37","-37","-37"
"4132","-37","-37","-37"
"4224","-37","-37","-37"
"4326","-37","-37","-37"
"4633","0","0","0"
"4737","-37","-37","-37"
"4831","-37","-37","-37"
"4925","-37","-37","-37"
"5027","-37","-37","-37"
"5129","-37","-37","-37"
"5233","-37","-37","-37"
"5540","0","0","0"
"5635","-37","-37","-37"
"5739","-37","-37","-37"
"5843","-37","-37","-37"
"5934","-37","-37","-37"
"6036","-37","-37","-37"
"6140","-37","-37","-37"
"6274","-37","-37","-37"
"6378","-37","-37","-37"
"6478","-37","-37","-37"
"6629","-37","-37","-37"
"6936","0","0","0"
"7147","-37","-37","-37"
"7251","-37","-37","-37"
"7346","-37","-37","-37"
"7450","-37","-37","-37"
"7552","-37","-37","-37"
"7646","-37","-37","-37"
"7734","-37","-37","-37"
"7822","-37","-37","-37"
"7924","-37","-37","-37"
"8231","0","0","0"
"8331","-37","-37","-37"
"8431","-37","-37","-37"
"8738","0","0","0"
"8829","-37","-37","-37"
"8921","-37","-37","-37"
"9138","-37","-37","-37"
"9234","-37","-37","-37"
"9343","-37","-37","-37"
"9436","-37","-37","-37"
"9528","-37","-37","-37"
"9697","-37","-37","-37"
"9805","-37","-37","-37"
"10008","-37","-37","-37"
"10101","-37","-37","-37"
"10199","-37","-37","-37"
"10291","-37","-37","-37"
"10393","-37","-37","-37"
"10495","-37","-37","-37"
"10593","-37","-37","-37"
"10739","-37","-37","-37"
"10845","-37","-37","-37"
"10937","-37","-37","-37"
"11041","-37","-37","-37"
"11129","-37","-37","-37"
"11274","-37","-37","-37"
"11473","-37","-37","-37"
"11563","-37","-37","-37"
"11654","-37","-37","-37"
"11892","-37","-37","-37"
"11992","-37","-37","-37"
"12096","-37","-37","-37"
"12403","0","0","0"
"12503","-37","-37","-37"
