"Step","SimpleQMIX_CNN_blox_VaryingEnemies__20241212_090453 - score","SimpleQMIX_CNN_blox_VaryingEnemies__20241212_090453 - score__MIN","SimpleQMIX_CNN_blox_VaryingEnemies__20241212_090453 - score__MAX"
"274","-4","-4","-4"
"580","0","0","0"
"886","-27","-27","-27"
"1192","0","0","0"
"1498","0","0","0"
"1804","1","1","1"
"2110","0","0","0"
"2416","0","0","0"
"2722","-1","-1","-1"
"3028","0","0","0"
"3334","-9","-9","-9"
"3640","0","0","0"
"3946","-4","-4","-4"
"4252","-3","-3","-3"
"4558","0","0","0"
"4864","0","0","0"
"4965","-37","-37","-37"
"5271","0","0","0"
"5577","-6","-6","-6"
"5883","0","0","0"
"6189","0","0","0"
"6495","0","0","0"
"6801","0","0","0"
"7107","0","0","0"
"7194","-37","-37","-37"
"7500","0","0","0"
"7806","-1","-1","-1"
"8112","0","0","0"
"8418","-2","-2","-2"
"8724","0","0","0"
"9030","0","0","0"
"9336","-27","-27","-27"
"9642","-15","-15","-15"
"9948","0","0","0"
"10254","-35","-35","-35"
"10560","-9","-9","-9"
"10866","0","0","0"
"11172","0","0","0"
"11478","0","0","0"
"11784","0","0","0"
"12090","0","0","0"
"12191","-37","-37","-37"
"12497","0","0","0"
"12803","-10","-10","-10"
"13109","-27","-27","-27"
"13415","-36","-36","-36"
"13721","0","0","0"
"14027","0","0","0"
"14333","0","0","0"
"14639","-35","-35","-35"
"14945","-35","-35","-35"
"15251","0","0","0"
"15557","-1","-1","-1"
"15863","0","0","0"
"16169","6","6","6"
"16475","12","12","12"
"16582","-37","-37","-37"
"16888","4","4","4"
"16989","-37","-37","-37"
"17295","-35","-35","-35"
"17601","-35","-35","-35"
"17696","-37","-37","-37"
"17787","-37","-37","-37"
"18093","-30","-30","-30"
"18399","-27","-27","-27"
"18705","0","0","0"
"19011","-27","-27","-27"
"19317","-36","-36","-36"
"19623","0","0","0"
"19726","-37","-37","-37"
"20032","0","0","0"
"20129","-37","-37","-37"
"20284","-37","-37","-37"
"20590","-7","-7","-7"
"20896","0","0","0"
"21202","-35","-35","-35"
"21508","-1","-1","-1"
"21814","0","0","0"
"22120","-27","-27","-27"
"22221","-37","-37","-37"
"22527","-27","-27","-27"
"22833","-11","-11","-11"
"23139","0","0","0"
"23445","-27","-27","-27"
"23751","0","0","0"
"24057","-26","-26","-26"
"24167","-37","-37","-37"
"24473","-36","-36","-36"
"24779","0","0","0"
"25085","-35","-35","-35"
"25391","-34","-34","-34"
"25488","-37","-37","-37"
"25593","-37","-37","-37"
"25806","-37","-37","-37"
"26112","-35","-35","-35"
"26204","-37","-37","-37"
"26510","-1","-1","-1"
"26816","-26","-26","-26"
"27122","-36","-36","-36"
"27428","-6","-6","-6"
"27515","-37","-37","-37"
"27688","-37","-37","-37"
"27777","-37","-37","-37"
"27868","-37","-37","-37"
"28174","-33","-33","-33"
"28480","-26","-26","-26"
"28786","0","0","0"
"29092","0","0","0"
"29398","-27","-27","-27"
"29704","0","0","0"
"29795","-37","-37","-37"
"30101","-25","-25","-25"
"30407","-35","-35","-35"
"30713","-27","-27","-27"
"31019","-25","-25","-25"
"31325","-26","-26","-26"
"31631","-1","-1","-1"
"31937","-27","-27","-27"
"32243","-26","-26","-26"
"32344","-37","-37","-37"
"32650","-23","-23","-23"
"32956","2","2","2"
"33050","-37","-37","-37"
"33356","-27","-27","-27"
"33662","0","0","0"
"33968","-26","-26","-26"
"34274","-33","-33","-33"
