"Step","SimpleQMIX_CNN_random_blox_basic__20241211_101837 - score","SimpleQMIX_CNN_random_blox_basic__20241211_101837 - score__MIN","SimpleQMIX_CNN_random_blox_basic__20241211_101837 - score__MAX"
"274","0","0","0"
"580","-6","-6","-6"
"886","0","0","0"
"1192","0","0","0"
"1498","0","0","0"
"1804","0","0","0"
"2110","0","0","0"
"2416","0","0","0"
"2722","-1","-1","-1"
"3028","0","0","0"
"3334","-2","-2","-2"
"3640","0","0","0"
"3946","0","0","0"
"4252","0","0","0"
"4558","0","0","0"
"4864","-2","-2","-2"
"5170","0","0","0"
"5476","0","0","0"
"5782","-1","-1","-1"
"6088","0","0","0"
"6394","-3","-3","-3"
"6700","0","0","0"
"7006","0","0","0"
"7312","0","0","0"
"7618","0","0","0"
"7924","0","0","0"
"8230","0","0","0"
"8536","0","0","0"
"8842","0","0","0"
"9148","0","0","0"
"9454","-2","-2","-2"
"9760","0","0","0"
"10066","0","0","0"
"10372","0","0","0"
"10678","0","0","0"
"10984","0","0","0"
"11290","0","0","0"
"11596","0","0","0"
"11902","-7","-7","-7"
"12208","0","0","0"
"12514","-1","-1","-1"
"12820","2","2","2"
"13126","0","0","0"
"13432","-4","-4","-4"
"13738","0","0","0"
"14044","1","1","1"
"14350","0","0","0"
"14656","0","0","0"
"14962","0","0","0"
"15268","-4","-4","-4"
"15574","0","0","0"
"15880","1","1","1"
"16186","0","0","0"
"16492","0","0","0"
"16798","0","0","0"
"17104","-2","-2","-2"
"17410","0","0","0"
"17716","0","0","0"
"18022","0","0","0"
"18328","0","0","0"
"18634","0","0","0"
"18940","-9","-9","-9"
"19246","3","3","3"
"19552","-10","-10","-10"
"19858","0","0","0"
"20164","0","0","0"
"20470","-3","-3","-3"
"20776","0","0","0"
"21082","0","0","0"
"21388","-1","-1","-1"
"21694","0","0","0"
"22000","-1","-1","-1"
"22306","0","0","0"
"22612","1","1","1"
"22918","0","0","0"
"23224","0","0","0"
"23530","-4","-4","-4"
"23836","0","0","0"
"24142","-3","-3","-3"
"24448","1","1","1"
"24754","0","0","0"
"25060","0","0","0"
"25366","0","0","0"
"25672","0","0","0"
"25978","0","0","0"
"26284","0","0","0"
"26590","0","0","0"
"26896","0","0","0"
"27202","0","0","0"
"27508","-8","-8","-8"
"27814","0","0","0"
"28120","0","0","0"
"28426","0","0","0"
"28732","0","0","0"
"29038","0","0","0"
"29344","0","0","0"
"29650","0","0","0"
"29956","-3","-3","-3"
"30262","0","0","0"
"30568","-7","-7","-7"
"30874","0","0","0"
"31180","0","0","0"
"31486","0","0","0"
"31792","0","0","0"
"32098","0","0","0"
"32404","0","0","0"
"32710","-4","-4","-4"
"33016","0","0","0"
"33322","0","0","0"
"33628","-13","-13","-13"
"33934","3","3","3"
"34240","-3","-3","-3"
"34546","0","0","0"
"34852","-1","-1","-1"
"35158","0","0","0"
"35464","0","0","0"
"35770","0","0","0"
"36076","3","3","3"
"36382","0","0","0"
"36688","3","3","3"
"36994","0","0","0"
"37300","2","2","2"
"37606","1","1","1"
"37912","-1","-1","-1"
"38218","-11","-11","-11"
"38524","0","0","0"
"38830","-3","-3","-3"
"39136","4","4","4"
"39442","0","0","0"
"39748","-2","-2","-2"
"40054","2","2","2"
"40360","4","4","4"
