"Step","SimpleQMIX_CNN_random_blox_later_exploration__20241212_162015 - score","SimpleQMIX_CNN_random_blox_later_exploration__20241212_162015 - score__MIN","SimpleQMIX_CNN_random_blox_later_exploration__20241212_162015 - score__MAX"
"305","0","0","0"
"611","-16","-16","-16"
"917","0","0","0"
"1223","0","0","0"
"1529","-2","-2","-2"
"1835","0","0","0"
"2141","0","0","0"
"2447","0","0","0"
"2753","0","0","0"
"3059","0","0","0"
"3365","5","5","5"
"3671","0","0","0"
"3977","0","0","0"
"4283","-1","-1","-1"
"4589","5","5","5"
"4895","2","2","2"
"5201","0","0","0"
"5507","0","0","0"
"5813","0","0","0"
"6119","-2","-2","-2"
"6425","0","0","0"
"6731","0","0","0"
"7037","0","0","0"
"7343","0","0","0"
"7649","0","0","0"
"7955","2","2","2"
"8261","0","0","0"
"8567","0","0","0"
"8873","0","0","0"
"9179","-1","-1","-1"
"9485","0","0","0"
"9791","0","0","0"
"10097","-1","-1","-1"
"10403","3","3","3"
"10709","0","0","0"
"11015","0","0","0"
"11321","-2","-2","-2"
"11627","0","0","0"
"11933","0","0","0"
"12239","4","4","4"
"12545","0","0","0"
"12851","0","0","0"
"13157","0","0","0"
"13463","0","0","0"
"13769","3","3","3"
"14075","0","0","0"
"14381","0","0","0"
"14687","0","0","0"
"14993","0","0","0"
"15299","0","0","0"
"15605","0","0","0"
"15911","0","0","0"
"16217","0","0","0"
"16523","0","0","0"
"16829","-5","-5","-5"
"17135","0","0","0"
"17441","-12","-12","-12"
"17747","0","0","0"
"18053","-1","-1","-1"
"18359","-2","-2","-2"
"18665","0","0","0"
"18971","2","2","2"
"19277","-3","-3","-3"
"19583","0","0","0"
"19889","3","3","3"
"20195","0","0","0"
"20501","0","0","0"
"20807","1","1","1"
"21113","-6","-6","-6"
"21419","0","0","0"
"21725","1","1","1"
"22031","4","4","4"
"22337","1","1","1"
"22643","3","3","3"
"22949","3","3","3"
"23255","4","4","4"
"23561","0","0","0"
