"Step","SimpleQMIX_CNN_random_blox_schedule__20241212_112341 - score","SimpleQMIX_CNN_random_blox_schedule__20241212_112341 - score__MIN","SimpleQMIX_CNN_random_blox_schedule__20241212_112341 - score__MAX"
"544","-1","-1","-1"
"1151","-2","-2","-2"
"1758","0","0","0"
"2365","0","0","0"
"2972","-5","-5","-5"
"3579","-2","-2","-2"
"4186","0","0","0"
"4793","0","0","0"
"5400","0","0","0"
"6007","-2","-2","-2"
"6614","0","0","0"
"7221","-11","-11","-11"
"7828","-10","-10","-10"
"8435","-10","-10","-10"
"9042","1","1","1"
"9649","0","0","0"
"10256","-1","-1","-1"
"10863","-4","-4","-4"
"11470","-4","-4","-4"
"12077","7","7","7"
"12684","0","0","0"
"13291","0","0","0"
"13898","0","0","0"
"14505","-3","-3","-3"
"15112","0","0","0"
"15719","0","0","0"
"16326","0","0","0"
"16933","0","0","0"
"17540","0","0","0"
"18147","0","0","0"
"18754","0","0","0"
"19361","0","0","0"
"19968","0","0","0"
"20575","0","0","0"
"21182","0","0","0"
"21789","0","0","0"
"22396","0","0","0"
"23003","0","0","0"
"23610","-1","-1","-1"
"24217","0","0","0"
"24824","-9","-9","-9"
"25431","0","0","0"
"26038","0","0","0"
"26645","0","0","0"
"27252","0","0","0"
"27859","0","0","0"
"28466","-8","-8","-8"
"29073","0","0","0"
"29680","0","0","0"
"30287","0","0","0"
"30894","0","0","0"
"31501","-11","-11","-11"
"32108","0","0","0"
"32715","0","0","0"
"33322","0","0","0"
"33929","0","0","0"
"34536","0","0","0"
"35143","0","0","0"
"35750","0","0","0"
"36357","0","0","0"
"36964","0","0","0"
"37571","0","0","0"
"38178","-11","-11","-11"
"38785","0","0","0"
"39392","0","0","0"
"39999","0","0","0"
"40606","0","0","0"
"41213","-1","-1","-1"
"41820","-2","-2","-2"
"42427","-4","-4","-4"
"43034","0","0","0"
"43641","0","0","0"
"44248","0","0","0"
"44855","0","0","0"
"45462","0","0","0"
"46069","0","0","0"
"46676","-3","-3","-3"
"47283","0","0","0"
"47890","0","0","0"
"48497","0","0","0"
"49104","0","0","0"
"49711","-1","-1","-1"
"50318","-1","-1","-1"
"50925","0","0","0"
"51532","0","0","0"
"52139","0","0","0"
"52746","-6","-6","-6"
"53353","0","0","0"
"53960","0","0","0"
"54567","0","0","0"
"55174","0","0","0"
"55781","0","0","0"
"56388","0","0","0"
"56995","0","0","0"
"57602","-2","-2","-2"
"58209","0","0","0"
"58816","0","0","0"
"59423","0","0","0"
"60030","0","0","0"
"60637","0","0","0"
"61244","0","0","0"
"61851","0","0","0"
"62458","0","0","0"
"63065","0","0","0"
"63672","0","0","0"
"64279","0","0","0"
"64886","0","0","0"
"65493","0","0","0"
"66100","-1","-1","-1"
"66707","0","0","0"
"67314","0","0","0"
"67921","0","0","0"
"68528","0","0","0"
"69135","0","0","0"
"69742","0","0","0"
"70349","0","0","0"
"70956","0","0","0"
"71563","0","0","0"
"72170","-1","-1","-1"
"72777","0","0","0"
"73384","0","0","0"
"73991","0","0","0"
"74598","0","0","0"
"75205","-9","-9","-9"
"75812","0","0","0"
"76419","0","0","0"
"77026","0","0","0"
"77633","0","0","0"
"78240","0","0","0"
"78847","0","0","0"
"79454","-2","-2","-2"
"80061","0","0","0"
"80668","0","0","0"
"81275","-2","-2","-2"
"81882","-3","-3","-3"
"82489","-2","-2","-2"
"83096","0","0","0"
"83703","0","0","0"
"84310","0","0","0"
"84917","0","0","0"
"85524","0","0","0"
"86131","0","0","0"
"86738","0","0","0"
"87345","0","0","0"
"87952","-11","-11","-11"
"88559","-5","-5","-5"
"89166","0","0","0"
"89773","0","0","0"
"90380","0","0","0"
"90987","-9","-9","-9"
"91594","0","0","0"
"92201","0","0","0"
"92808","0","0","0"
"93415","0","0","0"
"94022","0","0","0"
"94629","0","0","0"
"95236","0","0","0"
"95843","0","0","0"
"96450","0","0","0"
"97057","0","0","0"
"97664","-4","-4","-4"
"98271","-5","-5","-5"
"98878","0","0","0"
"99485","0","0","0"
"100092","-6","-6","-6"
"100699","0","0","0"
"101306","0","0","0"
"101913","0","0","0"
"102520","0","0","0"
"103127","-4","-4","-4"
"103734","0","0","0"
"104341","-1","-1","-1"
"104948","-5","-5","-5"
"105555","0","0","0"
"106162","0","0","0"
"106769","0","0","0"
"107376","0","0","0"
"107983","0","0","0"
"108590","0","0","0"
"109197","0","0","0"
"109804","-1","-1","-1"
"110411","0","0","0"
"111018","-1","-1","-1"
"111625","0","0","0"
"112232","0","0","0"
"112839","-5","-5","-5"
"113446","0","0","0"
"114053","0","0","0"
"114660","0","0","0"
"115267","-2","-2","-2"
"115874","-8","-8","-8"
"116481","0","0","0"
"117088","-6","-6","-6"
"117695","0","0","0"
"118302","0","0","0"
"118909","0","0","0"
"119516","0","0","0"
"120123","0","0","0"
"120730","0","0","0"
"121337","0","0","0"
"121944","0","0","0"
"122551","0","0","0"
"123158","0","0","0"
"123765","-1","-1","-1"
"124372","0","0","0"
"124979","0","0","0"
"125586","0","0","0"
"126193","0","0","0"
"126800","-6","-6","-6"
"127407","0","0","0"
"128014","0","0","0"
"128621","0","0","0"
"129228","0","0","0"
"129835","0","0","0"
"130442","0","0","0"
"131049","0","0","0"
"131656","0","0","0"
"132263","0","0","0"
"132870","-9","-9","-9"
"133477","-4","-4","-4"
"134084","0","0","0"
"134691","0","0","0"
"135298","0","0","0"
"135905","0","0","0"
"136512","-11","-11","-11"
"137119","0","0","0"
