Step,SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden128_target20__20241215_084416 - score,SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden128_target20__20241215_084416 - score__MIN,SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden128_target20__20241215_084416 - score__MAX
274,0,0,0
580,12,12,12
886,3,3,3
1192,0,0,0
1498,0,0,0
1804,0,0,0
2110,0,0,0
2416,0,0,0
2722,-5,-5,-5
3028,0,0,0
3334,0,0,0
3640,0,0,0
3946,0,0,0
4252,0,0,0
4558,-1,-1,-1
4864,0,0,0
5170,8,8,8
5476,0,0,0
5782,0,0,0
6088,0,0,0
6394,0,0,0
6700,-1,-1,-1
7006,0,0,0
7312,-1,-1,-1
7618,0,0,0
7924,-5,-5,-5
8230,0,0,0
8536,0,0,0
8842,-10,-10,-10
9148,0,0,0
9454,0,0,0
9760,0,0,0
10066,0,0,0
10372,0,0,0
10678,-1,-1,-1
10984,0,0,0
11290,0,0,0
11596,-1,-1,-1
11902,0,0,0
12208,1,1,1
12514,2,2,2
12820,0,0,0
13126,2,2,2
13432,-10,-10,-10
13738,0,0,0
14044,-3,-3,-3
14350,0,0,0
14656,8,8,8
14962,9,9,9
15268,-3,-3,-3
15574,0,0,0
15880,1,1,1
16186,0,0,0
16492,17,17,17
16798,-3,-3,-3
17104,1,1,1
17410,0,0,0
17716,0,0,0
18022,-7,-7,-7
18328,0,0,0
18634,0,0,0
18940,0,0,0
19246,0,0,0
19552,-1,-1,-1
19858,0,0,0
20164,0,0,0
20470,-10,-10,-10
20776,5,5,5
21082,0,0,0
21388,0,0,0
21694,0,0,0
22000,0,0,0
22306,0,0,0
22612,-7,-7,-7
22918,3,3,3
23224,12,12,12
23530,4,4,4
23836,4,4,4
24142,2,2,2
24448,20,20,20
24754,10,10,10
25060,2,2,2
25366,-1,-1,-1
25672,11,11,11
25978,0,0,0
26284,4,4,4
26590,6,6,6
26896,11,11,11
27202,0,0,0
27508,15,15,15
27814,0,0,0
28120,0,0,0
28426,9,9,9
28732,0,0,0
29038,4,4,4
29344,0,0,0
29650,9,9,9
29956,3,3,3
30262,-17,-17,-17
30568,0,0,0
30874,0,0,0
31180,0,0,0
31486,-4,-4,-4
31792,0,0,0
32098,0,0,0
32404,0,0,0
32710,1,1,1
33016,0,0,0
33322,0,0,0
33628,-4,-4,-4
33934,2,2,2
34240,0,0,0
34546,-2,-2,-2
34852,-2,-2,-2
35158,-4,-4,-4
35464,2,2,2
35770,0,0,0
36076,0,0,0
36382,-2,-2,-2
36688,0,0,0
36994,-1,-1,-1
37300,2,2,2
37606,2,2,2
37912,-3,-3,-3
38218,0,0,0
38524,2,2,2
38830,0,0,0
39136,0,0,0
39442,0,0,0
39748,0,0,0
40054,-1,-1,-1
40360,0,0,0
40666,0,0,0
40972,0,0,0
41278,0,0,0
41584,-1,-1,-1
41890,0,0,0
42196,0,0,0
42502,-1,-1,-1
42808,0,0,0
43114,2,2,2
43420,0,0,0
43726,4,4,4
44032,2,2,2
44338,3,3,3
44644,-2,-2,-2
44950,4,4,4
45256,10,10,10
45562,3,3,3
45868,5,5,5
46174,15,15,15
46480,15,15,15
46786,8,8,8
47092,20,20,20
47398,2,2,2
47704,14,14,14
48010,9,9,9
48316,9,9,9
48622,6,6,6
48928,11,11,11
274,0,0,0
580,11,11,11
886,5,5,5
1192,7,7,7
1498,16,16,16
1804,13,13,13
2110,-2,-2,-2
2416,11,11,11
2722,7,7,7
3028,10,10,10
3334,4,4,4
3640,6,6,6
3946,4,4,4
4252,3,3,3
4558,-3,-3,-3
4864,5,5,5
5170,-3,-3,-3
5476,4,4,4
5782,10,10,10
6088,5,5,5
6394,10,10,10
6700,11,11,11
7006,4,4,4
7312,9,9,9
7618,16,16,16
7924,4,4,4
8230,-1,-1,-1
8536,4,4,4
8842,12,12,12
9148,5,5,5
9454,0,0,0
9760,-15,-15,-15
10066,0,0,0
10372,0,0,0
10678,0,0,0
10984,-1,-1,-1
11290,0,0,0
11596,-1,-1,-1
11902,0,0,0
12208,0,0,0
