Step,SimpleQMIX_everything_varying_blox_gamma0.95_lr0.0001_hidden64_target10__20241214_203620 - blue_player1_reward,SimpleQMIX_everything_varying_blox_gamma0.95_lr0.0001_hidden64_target10__20241214_203620 - blue_player1_reward__MIN,SimpleQMIX_everything_varying_blox_gamma0.95_lr0.0001_hidden64_target10__20241214_203620 - blue_player1_reward__MAX
271,,,
303,-3.34,-3.34,-3.34
497,6.29,6.29,6.29
804,3.48,3.48,3.48
1111,-4.58,-4.58,-4.58
1418,29.48,29.48,29.48
1725,4.96,4.96,4.96
2032,0.67,0.67,0.67
2339,47.02,47.02,47.02
2646,39.17,39.17,39.17
2953,34.81,34.81,34.81
3260,32.28,32.28,32.28
3366,-5.94,-5.94,-5.94
3673,-4.89,-4.89,-4.89
3953,13.61,13.61,13.61
4043,-13.49,-13.49,-13.49
4350,-17.76,-17.76,-17.76
4657,-3.35,-3.35,-3.35
4964,33.99,33.99,33.99
5271,-6.29,-6.29,-6.29
5369,-8,-8,-8
5523,4.69,4.69,4.69
5830,-9.37,-9.37,-9.37
6137,-15.32,-15.32,-15.32
6444,-10.93,-10.93,-10.93
6751,4.49,4.49,4.49
7058,-1.66,-1.66,-1.66
7365,-12.43,-12.43,-12.43
7672,-6.17,-6.17,-6.17
7979,3.22,3.22,3.22
8081,-7.23,-7.23,-7.23
8388,-4.94,-4.94,-4.94
8477,-10.99,-10.99,-10.99
8583,-11.28,-11.28,-11.28
8676,-6.05,-6.05,-6.05
8983,-1.66,-1.66,-1.66
9290,8.9,8.9,8.9
9597,-2.29,-2.29,-2.29
9693,-9.04,-9.04,-9.04
10000,-8.57,-8.57,-8.57
10307,-19.01,-19.01,-19.01
10614,-11.01,-11.01,-11.01
10705,-7.13,-7.13,-7.13
11012,-9.93,-9.93,-9.93
11319,2.59,2.59,2.59
11626,-4.28,-4.28,-4.28
11933,-12.14,-12.14,-12.14
12240,-7.31,-7.31,-7.31
12547,-1.99,-1.99,-1.99
12854,-3.84,-3.84,-3.84
13161,-12.16,-12.16,-12.16
13468,-2.19,-2.19,-2.19
13775,-5.15,-5.15,-5.15
14082,-3.36,-3.36,-3.36
14389,-0.27,-0.27,-0.27
14483,-10.75,-10.75,-10.75
14790,8.44,8.44,8.44
15097,-11.89,-11.89,-11.89
15404,-5.72,-5.72,-5.72
15711,-0.79,-0.79,-0.79
16018,-9.3,-9.3,-9.3
16325,3.81,3.81,3.81
16632,-12.19,-12.19,-12.19
16939,-12.96,-12.96,-12.96
17246,-3.57,-3.57,-3.57
17553,-2.13,-2.13,-2.13
17860,-4.49,-4.49,-4.49
18167,-11.75,-11.75,-11.75
18273,-6.21,-6.21,-6.21
18368,-6.21,-6.21,-6.21
18675,0.34,0.34,0.34
18982,-0.65,-0.65,-0.65
19289,-6.44,-6.44,-6.44
19385,-7.87,-7.87,-7.87
19479,-6.93,-6.93,-6.93
19572,-10.79,-10.79,-10.79
19879,-3.36,-3.36,-3.36
20186,-1.15,-1.15,-1.15
20493,-12.28,-12.28,-12.28
20800,1.58,1.58,1.58
21107,-13.39,-13.39,-13.39
21414,-0.5,-0.5,-0.5
21721,-14.65,-14.65,-14.65
22028,5.38,5.38,5.38
22132,-17.62,-17.62,-17.62
22439,-6.59,-6.59,-6.59
22746,-26.52,-26.52,-26.52
23053,-9.13,-9.13,-9.13
23360,1.11,1.11,1.11
23667,0.99,0.99,0.99
23974,9.44,9.44,9.44
24281,-3.37,-3.37,-3.37
24588,0.1,0.1,0.1
24895,-15.01,-15.01,-15.01
25202,-11.16,-11.16,-11.16
25509,21.81,21.81,21.81
25816,6.17,6.17,6.17
26123,-14.59,-14.59,-14.59
26430,-7.61,-7.61,-7.61
26737,-13.71,-13.71,-13.71
27044,-17.96,-17.96,-17.96
