Step,SimpleQMIX_everything_varying_blox_gamma0.95_lr0.0001_hidden64_target10__20241214_203620 - score,SimpleQMIX_everything_varying_blox_gamma0.95_lr0.0001_hidden64_target10__20241214_203620 - score__MIN,SimpleQMIX_everything_varying_blox_gamma0.95_lr0.0001_hidden64_target10__20241214_203620 - score__MAX
274,,,
306,0,0,0
500,-37,-37,-37
580,,,
807,0,0,0
886,,,
1114,-12,-12,-12
1421,7,7,7
1728,-2,-2,-2
2035,-2,-2,-2
2342,11,11,11
2649,3,3,3
2956,4,4,4
3263,3,3,3
3369,-37,-37,-37
3676,-27,-27,-27
3956,-37,-37,-37
4046,-37,-37,-37
4353,-36,-36,-36
4660,0,0,0
4967,10,10,10
5274,-29,-29,-29
5372,-37,-37,-37
5526,-37,-37,-37
5833,-35,-35,-35
6140,0,0,0
6447,-35,-35,-35
6754,-3,-3,-3
7061,-27,-27,-27
7368,-35,-35,-35
7675,-35,-35,-35
7982,-6,-6,-6
8084,-37,-37,-37
8391,-35,-35,-35
8480,-37,-37,-37
8586,-37,-37,-37
8679,-37,-37,-37
8986,-35,-35,-35
9293,0,0,0
9600,-28,-28,-28
9696,-37,-37,-37
10003,-27,-27,-27
10310,-25,-25,-25
10617,-27,-27,-27
10708,-37,-37,-37
11015,-35,-35,-35
11322,-28,-28,-28
11629,0,0,0
11936,-36,-36,-36
12243,-35,-35,-35
12550,-26,-26,-26
12857,-27,-27,-27
13164,-35,-35,-35
13471,-27,-27,-27
13778,-25,-25,-25
14085,-27,-27,-27
14392,-26,-26,-26
14486,-37,-37,-37
14793,-12,-12,-12
15100,-10,-10,-10
15407,-16,-16,-16
15714,-27,-27,-27
16021,-27,-27,-27
16328,-16,-16,-16
16635,-27,-27,-27
16942,0,0,0
17249,-26,-26,-26
17556,-35,-35,-35
17863,-27,-27,-27
18170,-35,-35,-35
18276,-37,-37,-37
18371,-37,-37,-37
18678,-25,-25,-25
18985,0,0,0
19292,-27,-27,-27
19388,-37,-37,-37
19482,-37,-37,-37
19575,-37,-37,-37
19882,-28,-28,-28
20189,-26,-26,-26
20496,-27,-27,-27
20803,-15,-15,-15
21110,-27,-27,-27
21417,-27,-27,-27
21724,-36,-36,-36
22031,-25,-25,-25
22135,-37,-37,-37
22442,-25,-25,-25
22749,-27,-27,-27
23056,-35,-35,-35
23363,0,0,0
23670,-27,-27,-27
23977,-33,-33,-33
24284,-27,-27,-27
24591,0,0,0
24898,0,0,0
25205,-26,-26,-26
25512,6,6,6
25819,-24,-24,-24
26126,-27,-27,-27
26433,-27,-27,-27
26740,-27,-27,-27
27047,0,0,0
