Step,SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden64_target20__20241214_222340 - blue_player1_reward,SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden64_target20__20241214_222340 - blue_player1_reward__MIN,SimpleQMIX_everything_random_blox_gamma0.95_lr0.0001_hidden64_target20__20241214_222340 - blue_player1_reward__MAX
271,7.17,7.17,7.17
577,-1.06,-1.06,-1.06
883,16.44,16.44,16.44
1189,-5.3,-5.3,-5.3
1495,-2.73,-2.73,-2.73
1801,25.68,25.68,25.68
2107,-0.87,-0.87,-0.87
2413,12.77,12.77,12.77
2719,-3.67,-3.67,-3.67
3025,5.73,5.73,5.73
3331,0.82,0.82,0.82
3637,5.12,5.12,5.12
3943,0.78,0.78,0.78
4249,50.16,50.16,50.16
4555,1.24,1.24,1.24
4861,-4.7,-4.7,-4.7
5167,6.8,6.8,6.8
5473,5.02,5.02,5.02
5779,15.58,15.58,15.58
6085,26.5,26.5,26.5
6391,32.34,32.34,32.34
6697,54.19,54.19,54.19
7003,-3.79,-3.79,-3.79
7309,37.51,37.51,37.51
7615,27.2,27.2,27.2
7921,27.35,27.35,27.35
8227,2.2,2.2,2.2
8533,5.23,5.23,5.23
8839,-8.1,-8.1,-8.1
9145,-13.7,-13.7,-13.7
9451,-12.66,-12.66,-12.66
9757,48.36,48.36,48.36
10063,-5.38,-5.38,-5.38
10369,15.02,15.02,15.02
10675,32.48,32.48,32.48
10981,-12.49,-12.49,-12.49
11287,10.55,10.55,10.55
11593,26.15,26.15,26.15
11899,17.07,17.07,17.07
12205,-4.55,-4.55,-4.55
12511,-15.1,-15.1,-15.1
12817,30.75,30.75,30.75
13123,24.88,24.88,24.88
13429,30.12,30.12,30.12
13735,28.4,28.4,28.4
14041,0.29,0.29,0.29
14347,4.55,4.55,4.55
14653,18.22,18.22,18.22
14959,4.79,4.79,4.79
15265,59.61,59.61,59.61
15571,58.27,58.27,58.27
15877,0.79,0.79,0.79
16183,7.62,7.62,7.62
16489,12.87,12.87,12.87
16795,1.32,1.32,1.32
17101,34.55,34.55,34.55
17407,6.27,6.27,6.27
17713,68.84,68.84,68.84
18019,23.07,23.07,23.07
18325,15.95,15.95,15.95
18631,2.62,2.62,2.62
18937,47.23,47.23,47.23
19243,24.76,24.76,24.76
19549,24.39,24.39,24.39
19855,43.4,43.4,43.4
20161,25.88,25.88,25.88
20467,15.7,15.7,15.7
20773,9.7,9.7,9.7
21079,69.11,69.11,69.11
21385,9.8,9.8,9.8
21691,59.09,59.09,59.09
21997,64.21,64.21,64.21
22303,41.65,41.65,41.65
22609,58.63,58.63,58.63
22915,56.37,56.37,56.37
23221,56.5,56.5,56.5
23527,4.95,4.95,4.95
23833,17.56,17.56,17.56
24139,18.89,18.89,18.89
24445,9.17,9.17,9.17
24751,8.12,8.12,8.12
25057,26.18,26.18,26.18
25363,29.59,29.59,29.59
25669,44.48,44.48,44.48
25975,41.86,41.86,41.86
26281,30.42,30.42,30.42
26587,43.62,43.62,43.62
26893,7.9,7.9,7.9
27199,19.12,19.12,19.12
27505,31.15,31.15,31.15
27811,39.71,39.71,39.71
28117,17.01,17.01,17.01
28423,50.69,50.69,50.69
28729,30.83,30.83,30.83
29035,9.42,9.42,9.42
29341,15.43,15.43,15.43
29647,35.96,35.96,35.96
29953,37.14,37.14,37.14
