"Step","SimpleQMIX_everything_random_blox_gamma0.95_lr0.001_hidden64_target10__20241215_113943 - score","SimpleQMIX_everything_random_blox_gamma0.95_lr0.001_hidden64_target10__20241215_113943 - score__MIN","SimpleQMIX_everything_random_blox_gamma0.95_lr0.001_hidden64_target10__20241215_113943 - score__MAX"
"274","0","0","0"
"580","0","0","0"
"886","0","0","0"
"1192","2","2","2"
"1498","0","0","0"
"1804","0","0","0"
"2110","0","0","0"
"2416","0","0","0"
"2722","0","0","0"
"3028","0","0","0"
"3334","-7","-7","-7"
"3640","0","0","0"
"3946","0","0","0"
"4252","-1","-1","-1"
"4558","0","0","0"
"4864","3","3","3"
"5170","0","0","0"
"5476","-3","-3","-3"
"5782","0","0","0"
"6088","0","0","0"
"6394","6","6","6"
"6700","15","15","15"
"7006","11","11","11"
"7312","0","0","0"
"7618","0","0","0"
"7924","8","8","8"
"8230","1","1","1"
"8536","0","0","0"
"8842","-1","-1","-1"
"9148","0","0","0"
"9454","2","2","2"
"9760","10","10","10"
"10066","7","7","7"
"10372","2","2","2"
"10678","14","14","14"
"10984","6","6","6"
"11290","5","5","5"
"11596","0","0","0"
"11902","4","4","4"
"12208","9","9","9"
"12514","1","1","1"
"12820","1","1","1"
"13126","3","3","3"
"13432","7","7","7"
"13738","-4","-4","-4"
"14044","1","1","1"
"14350","0","0","0"
"14656","0","0","0"
"14962","0","0","0"
"15268","0","0","0"
"15574","4","4","4"
"15880","3","3","3"
"16186","-1","-1","-1"
"16492","0","0","0"
"16798","17","17","17"
"17104","7","7","7"
"17410","0","0","0"
"17716","2","2","2"
"18022","3","3","3"
"18328","12","12","12"
"18634","2","2","2"
"18940","7","7","7"
"19246","4","4","4"
"19552","3","3","3"
"19858","5","5","5"
"20164","1","1","1"
"20470","3","3","3"
"20776","9","9","9"
"21082","21","21","21"
"21388","8","8","8"
"21694","24","24","24"
"22000","11","11","11"
"22306","9","9","9"
"22612","0","0","0"
"22918","6","6","6"
"23224","10","10","10"
"23530","5","5","5"
"23836","2","2","2"
"24142","-5","-5","-5"
"24448","15","15","15"
"24754","11","11","11"
"25060","-3","-3","-3"
"25366","10","10","10"
"25672","7","7","7"
"25978","23","23","23"
"26284","11","11","11"
"26590","21","21","21"
"26896","10","10","10"
"27202","4","4","4"
"27508","9","9","9"
"27814","12","12","12"
"28120","5","5","5"
"28426","0","0","0"
"28732","0","0","0"
"29038","0","0","0"
"29344","19","19","19"
"29650","26","26","26"
"29956","7","7","7"
"30262","22","22","22"
"30568","26","26","26"
"30874","4","4","4"
"31180","-3","-3","-3"
"31486","17","17","17"
"31792","-1","-1","-1"
"32098","7","7","7"
"32404","0","0","0"
"32710","10","10","10"
"33016","0","0","0"
"33322","0","0","0"
"33628","0","0","0"
"33934","0","0","0"
"34240","21","21","21"
"34546","18","18","18"
"34852","10","10","10"
"35158","4","4","4"
"35464","12","12","12"
"35770","0","0","0"
"36076","7","7","7"
"36382","11","11","11"
"36688","6","6","6"
"36994","6","6","6"
"37300","15","15","15"
"37606","17","17","17"
"37912","19","19","19"
"38218","12","12","12"
"38524","0","0","0"
"38830","7","7","7"
"39136","8","8","8"
"39442","14","14","14"
"39748","28","28","28"
"40054","14","14","14"
"40360","19","19","19"
"40666","14","14","14"
"40972","33","33","33"
"41278","23","23","23"
"41584","7","7","7"
"41890","16","16","16"
"42196","11","11","11"
"42502","32","32","32"
"42808","10","10","10"
"43114","16","16","16"
"43420","14","14","14"
"43726","32","32","32"
"44032","11","11","11"
"44338","30","30","30"
"44644","14","14","14"
"44950","21","21","21"
"45256","10","10","10"
"45562","0","0","0"
"45868","25","25","25"
"46174","22","22","22"
"46480","14","14","14"
"46786","-12","-12","-12"
"47092","5","5","5"
"47398","32","32","32"
"47704","28","28","28"
"48010","31","31","31"
"48316","16","16","16"
"48622","24","24","24"
"48928","30","30","30"
"49234","0","0","0"
"49540","14","14","14"
"49846","15","15","15"
"50152","12","12","12"
"50458","25","25","25"
"50764","0","0","0"
"51070","14","14","14"
"51376","0","0","0"
"51682","10","10","10"
"51988","11","11","11"
"52294","28","28","28"
"52600","9","9","9"
"52906","-1","-1","-1"
"53212","8","8","8"
"53518","31","31","31"
"53824","4","4","4"
"54130","30","30","30"
"54436","35","35","35"
"54742","27","27","27"
"55048","28","28","28"
"55354","29","29","29"
"55660","13","13","13"
"55966","7","7","7"
"56272","16","16","16"
"56578","14","14","14"
"56884","34","34","34"
"57190","28","28","28"
"57496","34","34","34"
"57802","24","24","24"
"58108","11","11","11"
"58414","32","32","32"
"58720","30","30","30"
"59026","7","7","7"
"59332","15","15","15"
"59638","13","13","13"
"59944","7","7","7"
"60250","26","26","26"
"60556","5","5","5"
"60862","19","19","19"
"61168","25","25","25"
