"Step","SimpleQMIX_everything_later_blox_gamma0.95_lr0.001_hidden64_target20__20241215_143913 - score","SimpleQMIX_everything_later_blox_gamma0.95_lr0.001_hidden64_target20__20241215_143913 - score__MIN","SimpleQMIX_everything_later_blox_gamma0.95_lr0.001_hidden64_target20__20241215_143913 - score__MAX"
"305","13","13","13"
"611","22","22","22"
"917","16","16","16"
"1223","13","13","13"
"1529","3","3","3"
"1835","9","9","9"
"2141","8","8","8"
"2447","9","9","9"
"2753","3","3","3"
"3059","-17","-17","-17"
"3365","14","14","14"
"3671","8","8","8"
"3977","14","14","14"
"4283","10","10","10"
"4589","0","0","0"
"4895","-9","-9","-9"
"5201","17","17","17"
"5507","12","12","12"
"5813","13","13","13"
"6119","19","19","19"
"6425","18","18","18"
"6731","24","24","24"
"7037","3","3","3"
"7343","7","7","7"
"7649","16","16","16"
"7955","5","5","5"
"8261","8","8","8"
"8567","17","17","17"
"8873","0","0","0"
"9179","11","11","11"
"9485","8","8","8"
"9791","16","16","16"
"10097","5","5","5"
"10403","16","16","16"
"10709","11","11","11"
"11015","-7","-7","-7"
"11321","12","12","12"
"11627","11","11","11"
"11933","12","12","12"
"12239","4","4","4"
"12545","18","18","18"
"12851","13","13","13"
"13157","25","25","25"
"13463","12","12","12"
"13769","17","17","17"
"14075","15","15","15"
"14381","16","16","16"
"14687","24","24","24"
"14993","19","19","19"
"15299","22","22","22"
"15605","3","3","3"
"15911","13","13","13"
"16217","20","20","20"
"16523","22","22","22"
"16829","16","16","16"
"17135","27","27","27"
"17441","26","26","26"
"17747","5","5","5"
"18053","16","16","16"
"18359","10","10","10"
"18665","28","28","28"
"18971","0","0","0"
"19277","-4","-4","-4"
"19583","13","13","13"
"19889","28","28","28"
"20195","18","18","18"
"20501","17","17","17"
"20807","9","9","9"
"21113","13","13","13"
"21419","19","19","19"
"21725","17","17","17"
"22031","14","14","14"
"22337","23","23","23"
"22643","11","11","11"
"22949","4","4","4"
"23255","0","0","0"
"23561","0","0","0"
"23867","16","16","16"
"24173","12","12","12"
"24479","16","16","16"
"24785","4","4","4"
"25091","4","4","4"
"25397","18","18","18"
"25703","0","0","0"
"26009","0","0","0"
"26315","24","24","24"
"26621","28","28","28"
"26927","8","8","8"
"27233","6","6","6"
"27539","22","22","22"
"27845","14","14","14"
"28151","15","15","15"
"28457","18","18","18"
"28763","11","11","11"
"29069","0","0","0"
"29375","4","4","4"
"29681","22","22","22"
"29987","4","4","4"
"30293","13","13","13"
"30599","12","12","12"
