"Step","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.001_hidden64_target20__20241215_150830 - score","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.001_hidden64_target20__20241215_150830 - score__MIN","SimpleQMIX_everything_varying_blox_gamma0.95_lr0.001_hidden64_target20__20241215_150830 - score__MAX"
"306","0","0","0"
"613","18","18","18"
"920","17","17","17"
"1227","13","13","13"
"1534","-33","-33","-33"
"1841","1","1","1"
"2148","11","11","11"
"2455","17","17","17"
"2762","12","12","12"
"2866","-37","-37","-37"
"3173","16","16","16"
"3480","23","23","23"
"3645","-37","-37","-37"
"3952","19","19","19"
"4259","21","21","21"
"4566","0","0","0"
"4873","22","22","22"
"5180","-15","-15","-15"
"5487","16","16","16"
"5794","-26","-26","-26"
"6101","20","20","20"
"6408","-21","-21","-21"
"6551","-37","-37","-37"
"6858","7","7","7"
"7165","12","12","12"
"7472","4","4","4"
"7779","22","22","22"
"8086","-26","-26","-26"
"8393","-28","-28","-28"
"8700","-27","-27","-27"
"8913","-37","-37","-37"
"9196","-37","-37","-37"
"9296","-30","-30","-30"
"9603","-24","-24","-24"
"9910","-25","-25","-25"
"10217","-30","-30","-30"
"10321","-27","-27","-27"
"10628","-4","-4","-4"
"10934","-37","-37","-37"
"11241","-35","-35","-35"
"11334","-37","-37","-37"
"11641","-6","-6","-6"
"11733","-37","-37","-37"
"12028","-15","-15","-15"
"12335","-23","-23","-23"
"12642","-36","-36","-36"
"12949","7","7","7"
"13256","20","20","20"
"13563","-25","-25","-25"
"13870","-21","-21","-21"
"14177","-22","-22","-22"
"14484","17","17","17"
"14791","11","11","11"
"15098","8","8","8"
"15405","-17","-17","-17"
"15712","-24","-24","-24"
"16019","2","2","2"
"16326","10","10","10"
"16633","-14","-14","-14"
"16940","-3","-3","-3"
"17247","3","3","3"
"17554","1","1","1"
"17861","-20","-20","-20"
"18168","-17","-17","-17"
"18475","5","5","5"
"18782","-20","-20","-20"
"18948","-28","-28","-28"
"19255","-19","-19","-19"
"19449","-30","-30","-30"
"19551","-30","-30","-30"
"19858","-16","-16","-16"
"20165","-23","-23","-23"
"20339","-25","-25","-25"
"20646","-4","-4","-4"
"20953","-17","-17","-17"
"21051","-25","-25","-25"
"21141","-25","-25","-25"
"21448","-35","-35","-35"
"21755","-19","-19","-19"
"22062","-12","-12","-12"
"22369","-20","-20","-20"
"22471","-25","-25","-25"
"22778","-20","-20","-20"
"23085","-17","-17","-17"
"23392","-28","-28","-28"
"23699","-21","-21","-21"
"24006","5","5","5"
"24313","-9","-9","-9"
"24620","-17","-17","-17"
"24927","-24","-24","-24"
"25234","-23","-23","-23"
"25541","0","0","0"
"25848","-20","-20","-20"
"26155","-22","-22","-22"
"26462","-6","-6","-6"
"26769","0","0","0"
"27076","-23","-23","-23"
"27383","-24","-24","-24"
"27690","-8","-8","-8"
"27997","-16","-16","-16"
