Mon Dec  9 14:19:29 2024    test.prof

         22168758 function calls (21994485 primitive calls) in 205.113 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   88.935   88.935 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\wandb_login.py:40(login)
        2    0.000    0.000   88.519   44.260 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\wandb_login.py:277(_login)
        1    0.000    0.000   88.511   88.511 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\wandb_login.py:262(prompt_api_key)
        1    0.000    0.000   87.900   87.900 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\wandb_login.py:239(_prompt_api_key)
        2    0.000    0.000   87.889   43.944 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\lib\apikey.py:71(prompt_api_key)
  126/108    0.009    0.000   75.434    0.698 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\lib\mailbox.py:121(_wait)
        2    0.000    0.000   70.266   35.133 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\click\termui.py:79(prompt)
        2    0.000    0.000   70.265   35.133 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\click\termui.py:132(prompt_func)
        2    0.000    0.000   70.258   35.129 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\click\termui.py:50(hidden_prompt_func)
        2    0.003    0.002   70.258   35.129 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\getpass.py:97(win_getpass)
      682   70.253    0.103   70.253    0.103 {built-in method msvcrt.getwch}
      3/1    0.000    0.000   51.816   51.816 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\wandb\sdk\wandb_run.py:213(_loop_check_status)
  125/123    0.003    0.000   50.330    0.409 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\_ops.py:284(fallthrough)
30700/570    0.186    0.000   40.177    0.070 C:\Users\josse\OneDrive\Documenten\creditcontract\RL\RL_MARL_QMIX\venv\Lib\site-packages\torch\nn\modules\module.py:1732(_wrapped_call_impl)
